satCatlog,state,datetime,elev,azmth,distance
MS11,rising,2022 Jul 25 15:13:47,16.000453489296017,355.39914829638707,23360.34561533639
MS11,culminate,2022 Jul 25 17:57:26,47.45269609788944,88.54989378513723,20802.031259381474
MS11,setting,2022 Jul 25 19:49:31,15.99987365248335,147.22799598306196,23373.188913273174
MS11,rising,2022 Jul 26 09:47:31,16.000080408188172,225.4643055399333,23372.31590136549
MS11,culminate,2022 Jul 26 11:16:01,31.336467093707824,271.713032748782,21965.64884517671
MS11,culminate,2022 Jul 26 16:56:02,30.735236595899565,88.27107093051,22015.58324439632
MS11,setting,2022 Jul 26 18:23:17,15.999855831603282,133.87127399130367,23372.323118786364
MS12,rising,2022 Jul 25 08:26:30,16.00101768548449,211.93449921163224,23373.096759373686
MS12,culminate,2022 Jul 25 10:20:08,48.90354929721245,271.435655476271,20714.35698521365
MS12,setting,2022 Jul 25 13:03:06,15.999996437633255,4.946189019347772,23360.392293172048
MS12,rising,2022 Jul 26 07:09:58,16.00002517909161,203.68064749118267,23373.571191524275
MS12,culminate,2022 Jul 26 09:19:02,66.71925386866288,271.33877362470963,19881.093359426264
MS12,setting,2022 Jul 26 11:53:44,15.99978704317764,9.362228169612393,23360.47947135743
MS13,rising,2022 Jul 25 06:02:10,16.000333014766472,197.1891475498008,23373.77625752697
MS13,culminate,2022 Jul 25 08:23:33,86.08615906537713,271.34102915282233,19496.196410994875
MS13,setting,2022 Jul 25 10:48:49,15.997935125214472,14.567536832331612,23360.82512885232
MS13,rising,2022 Jul 26 04:51:12,16.001517312742685,192.16256490053584,23373.77500524782
MS13,culminate,2022 Jul 26 07:22:32,75.27551252440394,91.42605465361878,19643.62705021334
MS13,setting,2022 Jul 26 09:37:15,15.999214985419984,20.39908739299634,23360.933253719184
MS14,rising,2022 Jul 25 03:45:43,16.000068263112205,187.87936023825347,23374.00476612481
MS14,culminate,2022 Jul 25 06:26:54,56.259720338211395,91.63273458037149,20315.62439531487
MS14,setting,2022 Jul 25 08:27:39,15.999481960277347,28.11143995614324,23361.35887885466
MS14,rising,2022 Jul 25 22:40:38,16.000020016232337,302.93437284490983,23363.969552945622
MS14,culminate,2022 Jul 25 23:48:47,23.42725847414767,267.3036552543641,22656.771069807524
MS14,culminate,2022 Jul 26 05:25:26,39.00726542093903,91.99953744638844,21369.43831033471
MS14,setting,2022 Jul 26 07:07:12,15.99940232975185,38.609009757443715,23362.15250647182
MS14,rising,2022 Jul 26 21:03:58,16.00143276898374,321.8729341157654,23361.936385872996
MS14,culminate,2022 Jul 26 22:46:36,39.629279056453576,268.01826543707455,21324.439084706708
MS15,setting,2022 Jul 25 01:46:05,15.99995695072145,173.3255308491594,23374.03258322023
MS15,rising,2022 Jul 25 02:47:00,16.000124569296666,145.2787195990296,23373.033396781622
MS15,culminate,2022 Jul 25 04:28:38,22.11942347129238,92.78690866146462,22777.817709411
MS15,setting,2022 Jul 25 05:31:51,15.997105840882483,59.75395641298911,23364.52288082326
MS15,rising,2022 Jul 25 19:48:39,16.009746123800383,332.59428964136094,23360.31197388675
MS15,culminate,2022 Jul 25 21:50:40,57.75159740374433,268.3896710600779,20244.105054192176
MS15,setting,2022 Jul 26 00:31:03,15.996646344015781,171.8159166672061,23374.337221635687
MS15,rising,2022 Jul 26 18:34:25,16.00894264726925,339.8408976832698,23359.96864608115
MS15,culminate,2022 Jul 26 20:49:32,75.9632390925092,268.57442800705917,19629.20818975812
MS15,setting,2022 Jul 26 23:20:31,15.99941423441612,167.66407802249412,23373.98270333264
MS16,rising,2022 Jul 25 17:27:58,16.000228799388847,345.87845344215316,23360.591497444122
MS16,culminate,2022 Jul 25 19:54:02,84.52071801838217,88.66879892839465,19507.000407086212
MS16,setting,2022 Jul 25 22:14:32,15.997922498531679,162.34314458681752,23374.010594434607
MS16,rising,2022 Jul 26 16:18:00,16.000076226056205,350.8109536343943,23360.45312847616
MS16,culminate,2022 Jul 26 18:53:02,66.04244780789516,88.66074153971604,19904.471403478237
MS16,setting,2022 Jul 26 21:01:36,15.999527818029678,156.05658752958163,23373.62511757552
MS21,rising,2022 Jul 25 04:47:44,16.00011726423874,302.20427479700123,23364.067042935305
MS21,culminate,2022 Jul 25 05:53:29,22.876486879044588,267.76575325446214,22707.509186469335
MS21,culminate,2022 Jul 25 11:31:32,39.57690280819764,91.6158510292851,21328.16092909352
MS21,setting,2022 Jul 25 13:13:44,15.99879754010496,37.87843944429359,23362.176476790377
MS21,rising,2022 Jul 26 03:10:11,16.000569944770657,321.7090580645758,23362.06222683618
MS21,culminate,2022 Jul 26 04:51:38,39.04555837402382,268.3728767222083,21366.689004804208
MS21,culminate,2022 Jul 26 10:29:43,23.372327569604572,92.20371283255884,22661.725737346267
MS21,setting,2022 Jul 26 11:37:16,15.999337015131491,56.81272840815948,23363.977773656363
MS22,rising,2022 Jul 25 01:54:45,16.00085450196305,332.5807405963688,23361.223039812747
MS22,culminate,2022 Jul 25 03:55:55,57.131428682062506,268.69026435239437,20273.476209452685
MS22,setting,2022 Jul 25 06:35:35,15.999204914964126,172.6173674370827,23374.11875228003
MS22,rising,2022 Jul 26 00:40:35,16.005503732311652,339.918105750532,23360.332967082893
MS22,culminate,2022 Jul 26 02:54:57,75.32319735993215,268.8538546252303,19642.665858491106
MS22,setting,2022 Jul 26 05:25:40,15.999915489843403,168.24789151573043,23373.970379137412
MS22,rising,2022 Jul 26 23:29:17,16.01094577337551,345.81394249769636,23359.534019963045
MS23,culminate,2022 Jul 25 01:59:37,85.1663975505207,88.93532413221845,19502.156254591435
MS23,setting,2022 Jul 25 04:20:04,15.997869276487817,162.8598011218149,23374.056513262014
MS23,rising,2022 Jul 25 22:24:46,16.001487227104978,351.1536140345895,23360.331413784104
MS23,culminate,2022 Jul 26 00:58:46,66.66859398927772,88.95696247547293,19882.90182359272
MS23,setting,2022 Jul 26 03:07:27,15.99842140742713,156.5858440632259,23373.781817525567
MS23,rising,2022 Jul 26 21:16:27,16.000262024378195,356.0009386841581,23360.36450652283
MS23,culminate,2022 Jul 26 23:57:52,48.85136466659245,88.89527288552128,20717.5362857736
MS24,culminate,2022 Jul 25 00:03:23,48.04670031774038,88.8861231638042,20765.8525816113
MS24,setting,2022 Jul 25 01:55:45,15.99913110140367,147.85184780250762,23373.321772515854
MS24,rising,2022 Jul 25 15:53:56,16.000664647866017,225.7778805447379,23372.260033078444
MS24,culminate,2022 Jul 25 17:20:54,30.773503452592806,271.3107321531276,22012.412212522926
MS24,setting,2022 Jul 25 19:56:47,15.999976615841646,353.1136028869642,23360.43654063312
MS24,rising,2022 Jul 25 20:24:29,16.00000639038494,5.781898229748648,23360.422714455475
MS24,culminate,2022 Jul 25 23:02:16,31.28715671938412,88.69797809514124,21969.840525743337
MS24,setting,2022 Jul 26 00:30:16,15.999786552727127,134.7898445053231,23372.42344189749
MS24,rising,2022 Jul 26 14:27:59,16.001547563925726,212.46694850251032,23373.020624862915
MS24,culminate,2022 Jul 26 16:19:46,47.49821148956075,271.115082871482,20799.21902383985
MS24,setting,2022 Jul 26 19:01:41,15.999807207448963,3.6085981414377737,23360.402212358833
MS25,rising,2022 Jul 25 13:16:07,16.001159631643453,203.6399688702215,23373.485295840856
MS25,culminate,2022 Jul 25 15:24:22,66.0904366105666,271.046680034469,19902.78487539654
MS25,setting,2022 Jul 25 17:58:39,15.999223535073616,8.695337596088208,23360.546404144716
MS25,rising,2022 Jul 26 12:03:25,16.00215997104545,197.31521331570255,23373.59570494697
MS25,culminate,2022 Jul 26 14:23:32,84.5739630415453,271.0593530643001,19506.536695640185
MS25,setting,2022 Jul 26 16:49:06,15.999162194223006,13.77276242406441,23360.681194569715
MS26,rising,2022 Jul 25 10:57:45,16.000589327009948,191.9035780657306,23373.897969507703
MS26,culminate,2022 Jul 25 13:28:11,75.9106522772148,91.14058355647103,19630.261787730673
MS26,setting,2022 Jul 25 15:42:56,15.998474897661131,19.87978432423142,23361.007559878726
MS26,rising,2022 Jul 26 09:47:51,16.00071027321451,187.50258138871163,23373.950473669
MS26,culminate,2022 Jul 26 12:27:14,57.69674423061786,91.30304464121717,20246.622506823867
MS26,setting,2022 Jul 26 14:28:53,15.998983748532826,27.150723130779177,23361.351935844177
MS31,culminate,2022 Jul 25 05:07:53,31.828558966656523,88.36418291000322,21925.225224969065
MS31,setting,2022 Jul 25 06:37:18,15.999358555390351,135.11352931292907,23372.482097891694
MS31,rising,2022 Jul 25 20:34:50,16.000510934867783,213.0384847207791,23373.085239936314
MS31,culminate,2022 Jul 25 22:26:17,46.93111429703633,271.402731658482,20834.197050186445
MS31,setting,2022 Jul 26 01:09:54,15.999870478916494,4.317032655380028,23360.395232142942
MS31,rising,2022 Jul 26 03:53:42,16.00000993752688,81.45587157406388,23366.861604260903
MS31,culminate,2022 Jul 26 04:05:47,16.140318701907436,87.74510194414103,23353.66975347188
MS31,setting,2022 Jul 26 04:17:07,15.999989834711142,93.64349097886009,23368.32846560883
MS31,rising,2022 Jul 26 19:17:42,16.00085998280131,204.44972968819505,23373.45467218405
MS31,culminate,2022 Jul 26 21:25:11,64.64953783022769,271.29625417775253,19954.525873058246
MS32,setting,2022 Jul 25 00:05:53,15.998707284495985,8.966744541579791,23360.59593668353
MS32,rising,2022 Jul 25 18:09:38,16.001736224169775,197.77495991030534,23373.616932673034
MS32,culminate,2022 Jul 25 20:29:44,83.9566441470637,271.2851796758395,19511.70679563818
MS32,setting,2022 Jul 25 22:56:01,15.998579266533474,13.90674242440651,23360.735763964007
MS32,rising,2022 Jul 26 16:58:34,16.000513153856254,192.62724111750612,23373.862885346567
MS32,culminate,2022 Jul 26 19:28:44,77.38343814066856,91.37147633673386,19601.472851456274
MS32,setting,2022 Jul 26 21:44:41,15.999885084683658,19.629906247456606,23360.827245736975
MS33,rising,2022 Jul 25 15:53:15,16.000894924309932,188.18282462800738,23373.91589722472
MS33,culminate,2022 Jul 25 18:33:10,58.2906326028329,91.55486651419999,20218.978875887846
MS33,setting,2022 Jul 25 20:35:36,15.999188623705425,27.110407746821853,23361.32102978946
MS33,rising,2022 Jul 26 10:53:53,16.000354193110365,299.2299106814347,23364.351577125046
MS33,culminate,2022 Jul 26 11:55:03,21.650639458933448,267.25779109280097,22821.707888179946
MS33,culminate,2022 Jul 26 17:31:46,40.91638898115499,91.89010677951846,21232.805936727775
MS33,setting,2022 Jul 26 19:16:06,15.999663354409165,37.114961180568464,23361.998317897735
MS34,rising,2022 Jul 25 09:17:18,16.00021048540991,321.03302133746956,23362.148197045943
MS34,culminate,2022 Jul 25 10:58:16,38.49925032853225,268.04444390420554,21406.663411170117
MS34,culminate,2022 Jul 25 16:35:11,23.899480413429064,92.58964256349752,22613.45562676699
MS34,setting,2022 Jul 25 17:44:54,15.999386661481774,56.120692307667674,23363.888801440222
MS34,rising,2022 Jul 26 07:56:36,16.001158714824843,331.67171785913615,23361.224160825197
MS34,culminate,2022 Jul 26 09:56:50,55.72531156265914,268.40915355805095,20342.07180881419
MS34,setting,2022 Jul 26 12:38:09,15.999503872841961,172.3325143985974,23374.057218429716
MS35,rising,2022 Jul 25 06:46:56,16.000840405348555,339.45275652816656,23360.811520729927
MS35,culminate,2022 Jul 25 09:01:13,74.71360538059704,268.6141529406577,19656.020615125817
MS35,setting,2022 Jul 25 11:32:45,15.99905599378964,168.04162660254414,23374.044241284428
MS35,rising,2022 Jul 26 05:35:20,16.001662567358586,345.3284262797028,23360.46608597511
MS35,culminate,2022 Jul 26 08:00:13,86.64854611518393,88.69744615190002,19493.252297956507
MS35,setting,2022 Jul 26 10:21:52,15.999576147153347,163.0265298920023,23373.863365714555
MS36,rising,2022 Jul 25 04:30:26,16.000082591758776,350.5754033772405,23360.476020971833
MS36,culminate,2022 Jul 25 07:04:46,67.27313821790918,88.70990127173593,19862.561931743323
MS36,setting,2022 Jul 25 09:14:11,15.997692851509761,156.57731456992238,23373.8464980772
MS36,rising,2022 Jul 26 03:21:14,16.00077097393483,355.0727038403638,23360.315704632918
MS36,culminate,2022 Jul 26 06:03:42,49.426102158942804,88.62054573205334,20683.563586386186
MS36,setting,2022 Jul 26 07:57:50,15.999224186782552,148.40245043237724,23373.313558047044
MS36,rising,2022 Jul 26 21:57:38,16.000516294349264,227.51869166159094,23372.115128603582
MS36,culminate,2022 Jul 26 23:22:09,29.499532670220354,271.6953753937063,22119.446071057428
