satCatlog,state,datetime,elev,azmth,distance
MS11,setting,2022 Jul 25 02:00:53,15.997575667884831,8.95142803574304,23350.80497984965
MS11,rising,2022 Jul 25 19:15:00,16.000067315322642,244.30957539431387,23380.39554138619
MS11,culminate,2022 Jul 25 22:36:20,69.11121832768225,109.32085553903897,19812.92856533828
MS11,setting,2022 Jul 26 00:52:42,15.997970797771934,22.347115437609578,23352.119205607843
MS11,rising,2022 Jul 26 17:09:59,16.00122197428802,279.1198609008638,23368.121330703245
MS11,culminate,2022 Jul 26 21:16:26,54.54154657941162,124.03550122515273,20414.10897811666
MS11,setting,2022 Jul 26 23:36:58,15.999717390088307,37.567176584187,23354.788408140288
MS12,rising,2022 Jul 25 15:29:46,16.001027894419327,307.70635736553436,23358.597491654262
MS12,culminate,2022 Jul 25 18:24:10,46.32462385908749,201.0994497694498,20890.15474670068
MS12,setting,2022 Jul 25 22:13:34,15.99826183070062,58.52951863222183,23360.723355421178
MS12,rising,2022 Jul 26 14:05:43,16.000203754311105,326.14718057287087,23353.9760289438
MS12,culminate,2022 Jul 26 16:24:17,57.612943858718175,240.32358050984365,20261.771867858868
MS12,setting,2022 Jul 26 20:23:04,15.999921989263244,88.84512154349935,23371.070690750083
MS13,rising,2022 Jul 25 12:57:00,16.00080012868003,341.4052798341771,23351.390045448134
MS13,culminate,2022 Jul 25 15:13:14,73.4092715480253,253.40770505665117,19694.7166181645
MS13,setting,2022 Jul 25 18:22:44,15.99943649371043,122.76904565966784,23382.593083368225
MS13,rising,2022 Jul 26 11:50:38,16.00032243902471,354.61946709531395,23350.3896553847
MS13,culminate,2022 Jul 26 14:06:13,89.77382751368975,261.503883496851,19492.15730643356
MS13,setting,2022 Jul 26 16:45:08,15.999598279115444,138.02994255557059,23386.62021668477
MS14,rising,2022 Jul 25 10:56:53,16.00021649326952,8.804243893631035,23350.571147691346
MS14,culminate,2022 Jul 25 13:08:58,72.75821888961141,88.36719756822716,19709.242138584726
MS14,setting,2022 Jul 25 15:26:04,15.999102035443835,144.44773441515946,23388.077933963537
MS14,rising,2022 Jul 26 10:06:17,16.00107963281967,24.362435597887583,23352.15175162583
MS14,culminate,2022 Jul 26 12:09:21,56.437364200695036,94.47316939944781,20314.10871874635
MS14,setting,2022 Jul 26 14:07:17,15.999546430482232,146.23596309229129,23388.380097089757
MS15,rising,2022 Jul 25 02:15:55,16.00036051481622,218.9687211821128,23387.238629428684
MS15,culminate,2022 Jul 25 03:30:02,29.799124820554642,253.90764372856532,22103.983859772386
MS15,setting,2022 Jul 25 04:50:59,15.997335388901762,296.42523007878304,23362.454444132214
MS15,rising,2022 Jul 25 09:34:42,16.003609969674077,44.97135735007857,23356.29454485865
MS15,culminate,2022 Jul 25 11:18:17,40.278597099869785,101.0697603864812,21286.24934417757
