satCatlog,state,datetime,elev,azmth,distance
MS11,setting,2022 Jul 25 01:38:05,15.999231025717396,17.691101407284457,23351.14317479513
MS11,rising,2022 Jul 25 18:30:27,16.001306304911225,272.36951805710316,23372.262346288393
MS11,culminate,2022 Jul 25 21:59:33,64.87970250742954,130.3135811429185,19961.529539958345
MS11,setting,2022 Jul 26 00:26:02,15.997584651236009,33.31466422658831,23354.06983564522
MS11,rising,2022 Jul 26 16:50:26,16.001035555118325,298.1532969250407,23362.318697953197
MS11,culminate,2022 Jul 26 20:10:15,56.55124663767202,166.1930944159538,20321.56527485906
MS11,setting,2022 Jul 26 23:05:07,15.999899828418913,51.74542744980891,23358.929419421405
MS12,rising,2022 Jul 25 15:28:50,16.000957353265928,319.46978983012775,23355.5746056594
MS12,culminate,2022 Jul 25 18:02:29,60.511594072975996,218.7352226802717,20137.412044886234
MS12,setting,2022 Jul 25 21:35:17,15.998854340856589,76.32794863962117,23367.96001792566
MS12,rising,2022 Jul 26 14:13:26,16.001804181471527,336.0189558313768,23351.846113325337
MS12,culminate,2022 Jul 26 16:34:39,72.15392994978416,240.42451399564607,19731.163792005893
MS12,setting,2022 Jul 26 19:49:40,15.999634675854782,103.29289231855918,23378.563023938084
MS13,rising,2022 Jul 25 13:10:55,16.001197395801114,351.51064403902706,23350.125915702934
MS13,culminate,2022 Jul 25 15:27:17,87.01155239963192,253.52954863048362,19502.402593993367
MS13,setting,2022 Jul 25 18:13:38,15.998970992220427,124.50112428389394,23386.238790246578
MS13,rising,2022 Jul 26 12:10:05,16.001691688612045,6.067147286185623,23349.939653224545
MS13,culminate,2022 Jul 26 14:21:41,77.85264750051968,82.86564339459039,19602.925881402014
MS13,setting,2022 Jul 26 16:46:11,15.999757002115608,135.84246303291977,23389.53111610328
MS14,rising,2022 Jul 25 04:44:11,16.000034004304784,233.3934144710636,23386.809325508377
MS14,culminate,2022 Jul 25 04:56:33,16.36140301833678,239.34133014211704,23348.98168800266
MS14,setting,2022 Jul 25 05:09:03,15.999985657642702,245.44698300173454,23382.747792326285
MS14,rising,2022 Jul 25 11:22:39,16.000004913961543,22.438642254495925,23351.78413647275
MS14,culminate,2022 Jul 25 13:25:43,61.977908877014066,91.3436974356866,20068.72139581444
MS14,setting,2022 Jul 25 15:30:19,15.999995418395597,142.08463306900163,23391.11357565027
MS14,rising,2022 Jul 26 02:58:15,16.000448406098055,217.5017687844648,23391.16214195088
MS14,culminate,2022 Jul 26 04:06:09,27.9640554042961,248.76750354596047,22265.549039920836
MS14,setting,2022 Jul 26 05:17:48,15.999464119996901,285.35468895547103,23367.238350675732
MS14,rising,2022 Jul 26 10:38:36,16.00073897996099,40.51198854267443,23355.583226112838
MS14,culminate,2022 Jul 26 12:27:32,47.40315279336184,99.13820203633276,20816.401976886475
MS14,setting,2022 Jul 26 14:12:31,15.999912979165646,144.62549891402398,23391.70398624203
MS15,rising,2022 Jul 25 01:42:19,16.002325474208504,215.17129409907193,23391.526185098304
MS15,culminate,2022 Jul 25 03:18:14,41.610646619906866,257.55583252782213,21196.1199484658
MS15,setting,2022 Jul 25 04:58:57,15.995433522976029,310.9187622255738,23358.549431044918
MS15,rising,2022 Jul 25 10:13:20,16.00084962478876,63.64712358365939,23363.001623461838
MS15,culminate,2022 Jul 25 11:38:15,33.22502739765959,107.63219850785187,21825.306529065176
MS15,setting,2022 Jul 25 12:58:32,15.99678532523517,144.03148886767517,23391.89655077612
MS15,rising,2022 Jul 26 00:24:38,16.005355819829216,216.50286422692614,23390.917036819697
MS15,culminate,2022 Jul 26 02:21:18,55.80942909815571,265.4139454663815,20348.233839465895
MS15,setting,2022 Jul 26 04:19:21,15.996799202567846,330.4072576949043,23353.34427871951
MS15,rising,2022 Jul 26 09:59:42,16.002646179657763,93.21882800421508,23374.355254623617
MS15,culminate,2022 Jul 26 10:46:27,21.006448455429172,116.58253709302272,22897.842461766595
MS15,setting,2022 Jul 26 11:31:25,15.995332588604468,137.74223091609755,23390.499246243962
MS15,rising,2022 Jul 26 23:05:45,16.00671761013903,220.853127072361,23389.72198401608
MS16,culminate,2022 Jul 25 01:26:47,71.49870001491361,273.6671341727432,19745.219037635557
MS16,setting,2022 Jul 25 03:35:35,15.998116688630663,347.6367770810121,23350.68032246985
MS16,rising,2022 Jul 25 21:46:24,16.00181855241717,229.92755816603287,23387.71462077851
MS16,culminate,2022 Jul 26 00:23:03,86.7378594694516,282.348535845355,19503.0973590197
MS16,setting,2022 Jul 26 02:37:40,15.997425737201823,2.4747821861228285,23350.209860390085
MS16,rising,2022 Jul 26 20:12:22,16.00010037835661,245.9602288968638,23382.575437013245
MS16,culminate,2022 Jul 26 23:14:08,78.52425170573257,113.12476525685464,19593.286120518747
MS21,rising,2022 Jul 25 09:04:03,16.000086156440283,217.25499727187054,23391.281773228842
MS21,culminate,2022 Jul 25 10:11:10,27.736758398527776,248.25185677257647,22285.464827935593
MS21,setting,2022 Jul 25 11:21:55,15.999611953072636,284.4338451452339,23367.60885376212
MS21,rising,2022 Jul 25 16:43:36,16.000197834691413,39.94614350893647,23355.512236987277
MS21,culminate,2022 Jul 25 18:33:02,48.08405579247289,99.08472714264197,20774.896249327416
MS21,setting,2022 Jul 25 20:18:46,15.998855827547166,144.90551715351168,23391.897241604376
MS21,rising,2022 Jul 26 07:43:29,16.001422663006483,214.85719355781194,23391.690838425282
MS21,culminate,2022 Jul 26 09:17:38,40.69892443493182,256.6870233228077,21260.13474782101
MS21,setting,2022 Jul 26 10:56:32,15.99971615378453,309.0786385056237,23358.7075890081
MS21,rising,2022 Jul 26 16:10:32,16.00029819330982,61.68045842302752,23362.350801960263
MS21,culminate,2022 Jul 26 17:37:51,34.471181286331884,107.16281098731281,21726.15630112241
MS21,setting,2022 Jul 26 19:00:29,15.999721181133257,144.58617014963326,23391.734509168815
MS22,rising,2022 Jul 25 06:30:42,16.000891171711057,216.09822347386867,23391.479704281923
MS22,culminate,2022 Jul 25 08:26:41,55.498196851812914,264.92425958218865,20363.873371407863
MS22,setting,2022 Jul 25 10:24:04,15.999926761797797,329.6584155334198,23353.214431853306
MS22,rising,2022 Jul 25 16:02:33,16.000251944593327,91.7220421991521,23374.022096736822
MS22,culminate,2022 Jul 25 16:51:50,21.60570329545725,116.46036682561035,22841.417111719282
MS22,setting,2022 Jul 25 17:39:10,15.999346464957908,138.73347511752738,23390.381261766004
MS22,rising,2022 Jul 26 05:12:04,16.001101719352107,220.33066960502654,23390.438406862788
MS22,culminate,2022 Jul 26 07:26:52,70.46571678354898,272.7778100777715,19773.976970320622
MS22,setting,2022 Jul 26 09:34:47,15.999954619507854,346.2328422905403,23350.635218887015
MS23,rising,2022 Jul 25 03:53:08,16.00011774579572,229.19598714403682,23388.126278622312
MS23,culminate,2022 Jul 25 06:28:53,86.42741996016008,281.76874259976074,19504.6629854715
MS23,setting,2022 Jul 25 08:43:02,15.999602086084149,1.8278723082654367,23350.009802201177
MS23,rising,2022 Jul 26 02:19:37,16.001652360592313,244.9272355493829,23382.816237386145
MS23,culminate,2022 Jul 26 05:20:20,78.77875013330372,112.4094677502846,19589.014560468975
MS23,setting,2022 Jul 26 07:38:36,15.9978953915721,16.353535217407476,23351.118779911452
MS24,rising,2022 Jul 25 00:37:42,16.001221927947444,271.2695432408472,23372.736463257937
MS24,culminate,2022 Jul 25 04:06:27,65.00762415228719,129.21214088358727,19956.73519284366
MS24,setting,2022 Jul 25 06:32:05,15.993255225913012,32.621800529863066,23354.369335364434
MS24,rising,2022 Jul 25 22:57:05,16.01111563954161,297.3676932514912,23361.627042760072
MS24,culminate,2022 Jul 26 02:18:45,56.342055703722394,164.04776884334507,20331.738490659143
MS24,setting,2022 Jul 26 05:11:33,15.995565317115009,50.96441562323294,23359.135557275615
MS24,rising,2022 Jul 26 21:30:25,16.006212960997143,318.0931771050114,23355.4322499184
MS25,culminate,2022 Jul 25 00:09:00,59.89382096048032,218.00406731603684,20164.444354573174
MS25,setting,2022 Jul 25 03:42:10,15.999975669411198,75.4703623066284,23367.538498770573
MS25,rising,2022 Jul 25 20:19:23,16.000725592826157,335.6164259928932,23352.04722065949
MS25,culminate,2022 Jul 25 22:40:26,71.44810894836917,240.20380828324284,19750.076235825643
MS25,setting,2022 Jul 26 01:56:28,15.9994178600385,102.67074246310547,23378.36977189071
MS25,rising,2022 Jul 26 19:11:21,16.0016226591212,350.4825960371655,23350.156174322445
MS25,culminate,2022 Jul 26 21:27:43,85.58770438284206,252.94869176677432,19510.259243166827
MS26,setting,2022 Jul 25 00:19:57,15.999330097451914,124.3075593254761,23386.165964495733
MS26,rising,2022 Jul 25 18:15:43,16.0015678419655,5.705023310070399,23349.962382130696
MS26,culminate,2022 Jul 25 20:27:14,78.58484777729886,82.81606541403558,19590.372461562685
MS26,setting,2022 Jul 25 22:52:17,15.99917915365414,135.8803414409758,23389.624400514258
MS26,rising,2022 Jul 26 17:21:59,16.00175752450183,21.24272367594144,23351.43157541367
MS26,culminate,2022 Jul 26 19:25:40,63.38908494749789,90.93798573498638,20012.52646238517
MS26,setting,2022 Jul 26 21:31:43,15.999727788188544,142.05986481650544,23391.13932817835
MS31,rising,2022 Jul 25 05:04:19,16.00042670608042,296.58203652421196,23362.965180758387
MS31,culminate,2022 Jul 25 08:27:05,56.76615787899659,162.47939374491799,20310.924019092214
MS31,setting,2022 Jul 25 11:18:31,15.999681056945093,50.35722210923954,23358.52705484151
MS31,rising,2022 Jul 26 03:37:14,16.00017108996617,317.4068995917355,23356.213440041465
MS31,culminate,2022 Jul 26 06:13:40,59.44645916864855,215.01006509933475,20184.569917403434
MS31,setting,2022 Jul 26 09:45:59,15.999092100655323,73.35742006389572,23366.77583735164
MS32,rising,2022 Jul 25 02:25:52,16.00035886610093,334.99490147987854,23352.18325804631
MS32,culminate,2022 Jul 25 04:47:28,71.22187338320248,239.41367969831683,19756.343636492995
MS32,setting,2022 Jul 25 08:04:23,15.998754130265372,101.60490119224113,23378.01467189808
MS32,rising,2022 Jul 26 01:17:32,16.002131106066212,349.88342389648346,23350.140179130274
MS32,culminate,2022 Jul 26 03:34:18,85.28899360398051,252.3627446565919,19512.288269943452
MS32,setting,2022 Jul 26 06:23:28,15.998456588089962,122.77109019607997,23385.723359478696
MS33,rising,2022 Jul 25 00:21:36,16.000667111087797,5.0882637435492715,23350.019709555087
MS33,culminate,2022 Jul 25 02:33:33,78.91777123496975,82.32814363454516,19584.875177600745
MS33,setting,2022 Jul 25 04:59:24,15.9941561951948,135.32384990006767,23389.965352418436
MS33,rising,2022 Jul 25 23:27:35,16.009947789706782,20.582653010766634,23350.513941226585
