,utc_off,ua_no,ua_name,prev_sat,cur_sat,ho_utc,avail_sats,MS11,MS12,MS13,MS14,MS15,MS16,MS21,MS22,MS23,MS24,MS25,MS26,MS31,MS32,MS33,MS34,MS35,MS36
51,4,7,Jarkhand,MS21,MS21,None,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
52,4,8,Mindenaa,MS22,MS22,None,4,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
53,4,9,Pretoria,MS16,MS16,None,6,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
54,4,10,Quito,MS24,MS24,None,5,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0
55,5,0,CapeTown,MS11,MS11,None,5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
56,5,1,Davao,MS13,MS13,None,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
57,5,2,Durban,MS25,MS25,None,5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
58,5,3,Edmington,MS14,MS14,None,6,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0
59,5,4,Halifax,MS31,MS31,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
60,5,5,Hamilton,MS23,MS23,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
61,5,6,HimachalPradesh,MS12,MS12,None,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
62,5,7,Jarkhand,MS21,MS21,None,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
63,5,8,Mindenaa,MS22,MS22,None,4,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
64,5,9,Pretoria,MS16,MS16,None,6,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
65,5,10,Quito,MS24,MS24,None,4,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
66,6,0,CapeTown,MS11,MS11,None,5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
67,6,1,Davao,MS13,MS13,None,3,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
68,6,2,Durban,MS25,MS25,None,5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
69,6,3,Edmington,MS14,MS14,None,6,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0
70,6,4,Halifax,MS31,MS31,None,4,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
